text,author,book
I was taking time off.,Banana Yoshimoto,Kitchen
"""Not at all,"" he said.",Banana Yoshimoto,Kitchen
"""Did you decide on a place to live yet?",Banana Yoshimoto,Kitchen
"""""Not even close.""",Banana Yoshimoto,Kitchen
I smiled.,Banana Yoshimoto,Kitchen
"""I see.",Banana Yoshimoto,Kitchen
"""""Would you like to come in for some tea?""""No.",Banana Yoshimoto,Kitchen
"I'm on my way somewhere and I'm kind of in a hurry.""",Banana Yoshimoto,Kitchen
He grinned.,Banana Yoshimoto,Kitchen
"""I just stopped by to ask you something.",Banana Yoshimoto,Kitchen
"I was talking to my mother, and we were thinking you ought to come to our house for a while.""""Huh?""",Banana Yoshimoto,Kitchen
I said.,Banana Yoshimoto,Kitchen
"""In any case, why don't you come over tonight around seven?",Banana Yoshimoto,Kitchen
Here's the directions.,Banana Yoshimoto,Kitchen
"""""Okay ..."" I said vacantly, taking the slip of paper.",Banana Yoshimoto,Kitchen
"""All right, then, good.",Banana Yoshimoto,Kitchen
"Mom and I are both looking forward to your coming.""",Banana Yoshimoto,Kitchen
His smile was so bright as he stood in my doorway that I zoomed in for a closeup on his pupils.,Banana Yoshimoto,Kitchen
I couldn't take my eyes off him.,Banana Yoshimoto,Kitchen
I think I heard a spirit call my name.,Banana Yoshimoto,Kitchen
"""Okay,"" I said.",Banana Yoshimoto,Kitchen
"""I'll be there.",Banana Yoshimoto,Kitchen
"""Bad as it sounds, it was like I was possessed.",Banana Yoshimoto,Kitchen
"His attitude was so totally ""cool,"" though, I felt I could trust him.",Banana Yoshimoto,Kitchen
"In KITCHENthe black gloom before my eyes (as it always is in cases of"" bewitchment), I saw a straight road leading from me to him.",Banana Yoshimoto,Kitchen
He seemed to glow with white light.,Banana Yoshimoto,Kitchen
That was the effect he had on me.,Banana Yoshimoto,Kitchen
"""Okay, see you later,"" he said, smiling, and left.Before my grandmother's funeral I had barely known him.On the day itself, when Yuichi Tanabe showed up all of a sudden, I actually wondered if he had been her lover.",Banana Yoshimoto,Kitchen
His hands trembled as he lit the incense; his eyes were swollen from crying.,Banana Yoshimoto,Kitchen
"When he saw my grandmother's picture on the altar, again his tears fell like rain.",Banana Yoshimoto,Kitchen
"My first thought when I saw that was that my love for my own grandmother was nothing compared to this boy's, whoever he was.",Banana Yoshimoto,Kitchen
"He looked that sad.Then, mopping his face with a handkerchief, he said,""Let me help with something.""",Banana Yoshimoto,Kitchen
"After that, he helped me a lot.Yuichi Tanabe .",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
I must have been quite confused if I took that long to remember when I'd heard grandmother mention his name.He was the boy who worked part-time at my grandmother's favorite flower shop.,Banana Yoshimoto,Kitchen
"I remembered hearing her say, any number of times, things like, ""What a nice boy they have working there.",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
That Tanabe boy .,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"today, again ..."" Grandmother loved cut flowers.",Banana Yoshimoto,Kitchen
"Because the ones in our kitchen were not allowed to wilt, she'd go to the flower shop a couple of times a week.",Banana Yoshimoto,Kitchen
"When I thought of that, I remembered him walking behind my grandmother, a large potted plant in his arms.He was a long-limbed young man with pretty features.I didn't know anything more about him, but I might have seen him hard at work in the flower shop.",Banana Yoshimoto,Kitchen
"Even after I got to know him a little I still had an impression of aloofness.No matter how nice his manner and expression, he seemed like a loner.",Banana Yoshimoto,Kitchen
"I barely knew him, really.It was raining that hazy spring night.",Banana Yoshimoto,Kitchen
"A gentle, warm rain enveloped the neighborhood as I walked with directions in hand.My apartment building and the one where the Tanabes lived were separated by Chuo Park.",Banana Yoshimoto,Kitchen
"As I crossed through, I was inundated with the green smell of the night.",Banana Yoshimoto,Kitchen
"I walked, sloshing down the shiny wet path that glittered with the colors of the rainbow.To be frank, I was only going because they'd asked me.I didn't think about it beyond that.",Banana Yoshimoto,Kitchen
"I looked up at the towering apartment building and thought, their apartment on the tenth floor is so high, the view must be beautiful at night.",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
".Getting off the elevator, I was alarmed by the sound of my own footsteps in the hall.",Banana Yoshimoto,Kitchen
"I rang the bell, and abruptly, Yuichi opened the door.",Banana Yoshimoto,Kitchen
"""Come in.""""Thanks.""",Banana Yoshimoto,Kitchen
I stepped inside.,Banana Yoshimoto,Kitchen
"The room was truly strange.First thing, as I looked toward the kitchen, my gaze landed with a thud on the enormous sofa in the living room.",Banana Yoshimoto,Kitchen
"Against the backdrop of the large kitchen with its shelves of pots and pans—no table, no carpet, just ""it.",Banana Yoshimoto,Kitchen
"""8KITCHENCovered in beige fabric, it looked like something out of a c o m m e r c i a l .",Banana Yoshimoto,Kitchen
An entire family could watch TV on it.,Banana Yoshimoto,Kitchen
A dog too big to keep in Japan could stretch out across it—sideways.,Banana Yoshimoto,Kitchen
"It was really a marvelous sofa.In front of the large window leading onto the terrace was a jungle of plants growing in bowls, planters, and all kinds of pots.",Banana Yoshimoto,Kitchen
"Looking around, I saw that the whole house was filled with flowers; there were vases full of spring blooms everywhere.",Banana Yoshimoto,Kitchen
"""My mother says she'll get away from work soon.",Banana Yoshimoto,Kitchen
Take a look around if you'd like.,Banana Yoshimoto,Kitchen
Should I give you the tour?,Banana Yoshimoto,Kitchen
"Or pick a room, then I'll know what kind of person you are,""said Yuichi, making tea.",Banana Yoshimoto,Kitchen
"""What kind?",Banana Yoshimoto,Kitchen
"m I seated myself on the deep, comfy sofa.",Banana Yoshimoto,Kitchen
"""I mean, what you want to know about a house and the people who live there, their tastes.",Banana Yoshimoto,Kitchen
"A lot of people would say you learn a lot from the toilet,"" he said, smiling, unconcerned.",Banana Yoshimoto,Kitchen
He had a very relaxed way of talking.,Banana Yoshimoto,Kitchen
"""The kitchen,"" I said.",Banana Yoshimoto,Kitchen
"""Well, here it is.",Banana Yoshimoto,Kitchen
Look at whatever you want.,Banana Yoshimoto,Kitchen
"""While he made tea, I explored the kitchen.",Banana Yoshimoto,Kitchen
"I took everything in: the good quality of the mat on the wood floor and of Yuichi's slippers; a practical minimum of well-worn kitchen things, precisely arranged.",Banana Yoshimoto,Kitchen
"A Silverstone frying pan and a delightful German-made vegetable peeler—a peeler to make even the laziest grandmother enjoy slip, slipping those skins off.Lit by a small fluorescent lamp, all kinds of plates silendy awaited their turns; glasses sparkled.",Banana Yoshimoto,Kitchen
"It was clear that in spite of the disorder everything was of the finest quality.There were things with special uses, like .",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"porcelain bowls, gratin dishes, gigantic platters, two beer steins.Somehow it was all very satisfying.",Banana Yoshimoto,Kitchen
"I even opened the small refrigerator (Yuichi said it was okay)—everything was neady organized, nothing just ""left.",Banana Yoshimoto,Kitchen
"""I looked around, nodding and murmuring approvingly,""Mmm, mmm.""",Banana Yoshimoto,Kitchen
It was a good kitchen.,Banana Yoshimoto,Kitchen
"I fell in love with it at first sight.I went back and sat on the sofa, and out came hot tea.Usually, the first time I go to a house, face to face with people I barely know, I feel an immense loneliness.",Banana Yoshimoto,Kitchen
I saw myself reflected in the glass of the large terrace window while black gloom spread over the rain-hounded night panorama.,Banana Yoshimoto,Kitchen
"I was tied by blood to no creature in this world.I could go anywhere, do anything.",Banana Yoshimoto,Kitchen
"It was dizzying.Suddenly, to see that the world was so large, the cosmos so black.",Banana Yoshimoto,Kitchen
"The unbounded fascination of it, the unbounded loneliness.",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"For the first time, these days, I was touching it with these hands, these eyes.",Banana Yoshimoto,Kitchen
"I've been looking at the world half-blind, I thought.",Banana Yoshimoto,Kitchen
"""Why did you invite me here?""",Banana Yoshimoto,Kitchen
I asked.,Banana Yoshimoto,Kitchen
"""We thought you might be having a hard time,"" Yuichi said, peering kindly at me.",Banana Yoshimoto,Kitchen
"""Your grandmother was always,so sweet to me, and look at this house, we have all this room.",Banana Yoshimoto,Kitchen
"Shouldn't you be moving?""""Yes.",Banana Yoshimoto,Kitchen
Although the landlord's been nice enough to give me extra time.,Banana Yoshimoto,Kitchen
"""KITCHEN""So why not move in with us?""",Banana Yoshimoto,Kitchen
"he said, as though it were the most natural thing in the world.He struck just the right note, neither cold nor oppres-sively kind.",Banana Yoshimoto,Kitchen
It made me warm to him; my heart welled up to the point of tears.,Banana Yoshimoto,Kitchen
"Just then, with the scratch of a key in the door, an incredibly beautiful woman came running in, all out of breath.I was so stunned, I gaped.",Banana Yoshimoto,Kitchen
"Though she didn't seem young, she was truly beautiful.",Banana Yoshimoto,Kitchen
"From her outfit and dra-matic makeup, which really wouldn't do for daytime, I understood that hers was night work.Yuichi introduced me: ""This is Mikage Sakurai.",Banana Yoshimoto,Kitchen
"""""How do you do,"" she said in a slightly husky voice, still panting, with a smile.",Banana Yoshimoto,Kitchen
"""I'm Yuichi's mother.",Banana Yoshimoto,Kitchen
My name is Eriko.,Banana Yoshimoto,Kitchen
"""This was his mother?",Banana Yoshimoto,Kitchen
"Dumbfounded, I couldn't take my eyes off her.",Banana Yoshimoto,Kitchen
"Hair that rustled like silk to her shoulders; the deep sparkle of her long, narrow eyes; well-formed lips, a nose with a high, straight bridge—the whole of her gave off a marvelous light that seemed to vibrate with life force.She didn't look human.",Banana Yoshimoto,Kitchen
I had never seen anyone like her.I was staring to the point of rudeness.,Banana Yoshimoto,Kitchen
"""How do you do,"" I replied at last, smiling back at her.",Banana Yoshimoto,Kitchen
"""We're so pleased to have you here,"" she said to me warmly, and then, turning to Yuichi, ""I'm sorry, Yuichi.I just can't get away tonight.",Banana Yoshimoto,Kitchen
I dashed out for a second saying that I was off to the bathroom.,Banana Yoshimoto,Kitchen
But I'll have plenty of time in the morning.,Banana Yoshimoto,Kitchen
"I hope Mikage will agree to spend the night.""",Banana Yoshimoto,Kitchen
"She was in a rush and ran to the door, red dress flying.",Banana Yoshimoto,Kitchen
"""I'll drive you,"" said Yuichi.",Banana Yoshimoto,Kitchen
"""Sorry to put you to so much trouble,"" I said.",Banana Yoshimoto,Kitchen
"""Not at all.",Banana Yoshimoto,Kitchen
Who ever would4have thought the club would be so busy tonight?,Banana Yoshimoto,Kitchen
It's me who should apologize.Well!,Banana Yoshimoto,Kitchen
See you in the morning!,Banana Yoshimoto,Kitchen
"""She ran out in her high heels, and Yuichi called back to me, ""Wait here!",Banana Yoshimoto,Kitchen
"Watch TV or something!""",Banana Yoshimoto,Kitchen
"then ran after her, leaving me alone in a daze.I felt certain that if you looked really closely you would see a few normal signs of age—crow's feet, less-than-perfect teeth—some part of her that looked like a real human being.",Banana Yoshimoto,Kitchen
"Still, she was stunning.",Banana Yoshimoto,Kitchen
She made me want to be with her again.,Banana Yoshimoto,Kitchen
"There was a warm light, like her afterimage, softly glowing in my heart.",Banana Yoshimoto,Kitchen
"That must be what they mean by ""charm.""",Banana Yoshimoto,Kitchen
"Like Helen Keller when she understood ""water"" for the first time, the word burst into reality for me, its living example before my eyes.",Banana Yoshimoto,Kitchen
"It's no exaggera-tion; the encounter was that overwhelming.Yuichi returned, jingling the car keys.",Banana Yoshimoto,Kitchen
"""If she could only get away for ten minutes, she should have just called,"" he said, taking off his shoes in the entryway.I stayed where I was on the sofa and answered ""Mmm,""noncommittally.",Banana Yoshimoto,Kitchen
"""Mikage,"" he said, ""were you a little bit intimidated by my mother?",Banana Yoshimoto,Kitchen
"""""Yes,"" I told him frankly.",Banana Yoshimoto,Kitchen
"""I've never seen a woman that beautiful.""""Yes.",Banana Yoshimoto,Kitchen
But .,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
".""",Banana Yoshimoto,Kitchen
"Smiling, he sat down on the floor 12k i t c h e nright in front of me.",Banana Yoshimoto,Kitchen
"""She's had plastic surgery.""""Oh?""",Banana Yoshimoto,Kitchen
"I said, feigning nonchalance.",Banana Yoshimoto,Kitchen
"""I wondered why she didn't look anything like you.",Banana Yoshimoto,Kitchen
"""""And that's not all.",Banana Yoshimoto,Kitchen
"Guess what else—she's a man.""",Banana Yoshimoto,Kitchen
He could barely contain his amusement.This was too much.,Banana Yoshimoto,Kitchen
I just stared at him in wide-eyed silence.,Banana Yoshimoto,Kitchen
"I expected any second he would say, ""Just kidding.""",Banana Yoshimoto,Kitchen
"Those tapered fingers, those mannerisms, the way she carried herself...",Banana Yoshimoto,Kitchen
"I held my breath remembering that beautiful face; he, on the other hand, was enjoying this.",Banana Yoshimoto,Kitchen
"""Yes, but..."" My mouth hung open.",Banana Yoshimoto,Kitchen
"""You've been saying all along, 'my mother' this, and 'my mother' that...""Yes, but.",Banana Yoshimoto,Kitchen
"Could you call someone who looked like that'Dad'?""",Banana Yoshimoto,Kitchen
he asked calmly.,Banana Yoshimoto,Kitchen
"He has a point, I thought.",Banana Yoshimoto,Kitchen
An extremely good answer.,Banana Yoshimoto,Kitchen
"""What about the name Eriko?",Banana Yoshimoto,Kitchen
"""""It's actually Yuji.""",Banana Yoshimoto,Kitchen
";It was as though there were a haze in front of my eyes.When I was finally ready to hear the story, I said, ""So, who gave birth to you?",Banana Yoshimoto,Kitchen
"""""Eriko was a man a long time ago.",Banana Yoshimoto,Kitchen
He married very young.,Banana Yoshimoto,Kitchen
The person he married was my mother.,Banana Yoshimoto,Kitchen
"""""Wow .",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"I wonder what she was like.""",Banana Yoshimoto,Kitchen
I couldn't imagine.,Banana Yoshimoto,Kitchen
"""I don't remember her myself.",Banana Yoshimoto,Kitchen
She died when I was litde.,Banana Yoshimoto,Kitchen
"I have a picture, though.",Banana Yoshimoto,Kitchen
"Want to see it?""""Yes.""",Banana Yoshimoto,Kitchen
I nodded.,Banana Yoshimoto,Kitchen
"Without getting up, he dragged his bag across the floor, then took an old photograph out of his wallet and handed it to me.She was someone whose face told you nothing about her.",Banana Yoshimoto,Kitchen
"Short hair, small eyes and nose.",Banana Yoshimoto,Kitchen
The impression was of a very odd woman of indeterminate age.,Banana Yoshimoto,Kitchen
"When I didn't say anything, Yuichi said, ""She looks strange, doesn't she?",Banana Yoshimoto,Kitchen
"""I smiled uncomfortably.",Banana Yoshimoto,Kitchen
"""As a child Eriko was taken in by her family.",Banana Yoshimoto,Kitchen
I don't know why.,Banana Yoshimoto,Kitchen
They grew up together.,Banana Yoshimoto,Kitchen
"Even as a man he was good-looking, and apparently he was very popular with women.",Banana Yoshimoto,Kitchen
Why he would marry such a strange .,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"""he said smiling, looking at the photo.",Banana Yoshimoto,Kitchen
"""He must have been pretty attached to my mother.",Banana Yoshimoto,Kitchen
So much so he turned his back on the debt of gratitude he owed his foster parents and eloped with her.,Banana Yoshimoto,Kitchen
"""I nodded.",Banana Yoshimoto,Kitchen
"""After my real mother died, Eriko quit her job, gathered me up, and asked herself, 'What do I want to do now?",Banana Yoshimoto,Kitchen
"'What she decided was, 'Become a woman.'",Banana Yoshimoto,Kitchen
She knew she'd never love anybody else.,Banana Yoshimoto,Kitchen
She says that before she became a woman she was very shy.,Banana Yoshimoto,Kitchen
"Because she hates to do things halfway, she had everything 'done,' from her face to her whatever, and with the money she had left over she bought that nightclub.",Banana Yoshimoto,Kitchen
"She raised me a woman alone, as it were.""",Banana Yoshimoto,Kitchen
He smiled.,Banana Yoshimoto,Kitchen
"""What an amazing life story!",Banana Yoshimoto,Kitchen
"""""She's not dead yet,"" said Yuichi.Whether I could trust him or whether he still had something up his sleeve .",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"the more I found out about these people, the more I didn't know what to expect.But I trusted their kitchen.",Banana Yoshimoto,Kitchen
"Even though they didn't KITCHENlook alike, there were certain traits they shared.",Banana Yoshimoto,Kitchen
Their faces shone like buddhas when they smiled.,Banana Yoshimoto,Kitchen
"I like that, I thought.",Banana Yoshimoto,Kitchen
"""I'll be out of here early in the morning, so just help yourself to whatever you want.",Banana Yoshimoto,Kitchen
"""A sleepy-looking Yuichi, his arms full of blankets, pil-lows, and pajamas for me, showed me how the shower worked and pointed out the towels.Unable to think of much of anything after hearing such a (fantastic!)",Banana Yoshimoto,Kitchen
"life story, I had watched a video with Yuichi.We had chatted about things like the flower shop and my grandmother, and time passed quickly.",Banana Yoshimoto,Kitchen
Now it was one in the morning.,Banana Yoshimoto,Kitchen
That sofa was delectable.,Banana Yoshimoto,Kitchen
"It was so big, so soft, so deep, I felt that once I surrendered to it I'd never get up again.",Banana Yoshimoto,Kitchen
"""Your mother,"" I said after a while.",Banana Yoshimoto,Kitchen
"""I bet the first time she sat on this sofa in the furniture store, she just had to have it and bought it right then and there.",Banana Yoshimoto,Kitchen
"""""You got it,"" he said.",Banana Yoshimoto,Kitchen
"""As soon as she gets an idea in her head she does it, you know?",Banana Yoshimoto,Kitchen
I just stand back in amazement at her way of making things happen.,Banana Yoshimoto,Kitchen
"""""No kidding.",Banana Yoshimoto,Kitchen
"""""So that sofa is yours for the time being.",Banana Yoshimoto,Kitchen
It's your bed.It's great for us to be able to put it to good use.,Banana Yoshimoto,Kitchen
"""""Is it,"" I ventured sofdy, ""is it really okay for me to sleep here?",Banana Yoshimoto,Kitchen
"""""Sure,"" he said, without a hint of hesitation.",Banana Yoshimoto,Kitchen
"""I'm very grateful.",Banana Yoshimoto,Kitchen
"""After the usual instructions on how to make myself at home, he said good night and went to his room.I was sleepy, too.Showering at someone else's house, I thought about what was happening to me, and my exhaustions washed away under the hot water.I put on the borrowed pajamas and, barefoot, went into the silent living room.",Banana Yoshimoto,Kitchen
I just had to go back for one more look at the kitchen.,Banana Yoshimoto,Kitchen
It was really a good kitchen.Then I stumbled over to the sofa that was to be my bed for the night and turned out the lamp.,Banana Yoshimoto,Kitchen
"Suspended in the dim light before the window overlooking the magnificent tenth-floor view, the plants breathed softly, resting.",Banana Yoshimoto,Kitchen
"By now the rain had stopped, and the atmosphere, sparkling, replete with moisture, refracted the glittering night splendidly.Wrapped in blankets, I thought how funny it was that tonight, too, here I was sleeping next to the kitchen.",Banana Yoshimoto,Kitchen
I smiled to myself.,Banana Yoshimoto,Kitchen
But this time I wasn't lonely.,Banana Yoshimoto,Kitchen
Maybe I had been waiting for this.,Banana Yoshimoto,Kitchen
"Maybe all I had been hoping for was a bed in which to be able to stop thinking, just for a little while, about what happened before and what would happen in the future.",Banana Yoshimoto,Kitchen
I was too sad to be able to sleep in the same bed with anyone; that would only make the sadness worse.,Banana Yoshimoto,Kitchen
"But here was a kitchen, some plants, someone sleeping in the next room, perfect quiet .",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
this was the best.,Banana Yoshimoto,Kitchen
This place was .,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"the best.At peace, I slept.16I awoke to the sound of running water.Morning had come, dazzling.",Banana Yoshimoto,Kitchen
I arose drowsily and went into the kitchen.,Banana Yoshimoto,Kitchen
"There was ""Eriko-san,"" her back turned to me.",Banana Yoshimoto,Kitchen
"Her clothing was subdued compared to last night's, but as she turned to me with a cheery ""Good morning!""",Banana Yoshimoto,Kitchen
"her face, even more brilliantly animated, brought me to my senses.",Banana Yoshimoto,Kitchen
"""Good morning,"" I answered.",Banana Yoshimoto,Kitchen
"She opened the refrigerator, glanced inside, and looked at me with a troubled air.",Banana Yoshimoto,Kitchen
"""You know,"" she said, ""I'm always hungry in the morning, even though I'm still sleepy.",Banana Yoshimoto,Kitchen
But there's nothing to eat in this house.,Banana Yoshimoto,Kitchen
Let's call for takeout.,Banana Yoshimoto,Kitchen
What would you like?,Banana Yoshimoto,Kitchen
"""I stood up.",Banana Yoshimoto,Kitchen
"""Would you like me to make something?""""Really?""",Banana Yoshimoto,Kitchen
"she said, and then, doubtfully, ""Do you think you can handle a knife, half-asleep?",Banana Yoshimoto,Kitchen
"""""No problem.",Banana Yoshimoto,Kitchen
"""The entire apartment was filled with light, like a sun-room.",Banana Yoshimoto,Kitchen
"I looked out at the sweet, endless blue of the sky; it was glorious.In the joy of being in a kitchen I liked so well, my head cleared, and suddenly I remembered she was a man.",Banana Yoshimoto,Kitchen
I turned to look at her.,Banana Yoshimoto,Kitchen
Deja vu overwhelmed me like a flash flood.The house smelled of wood.,Banana Yoshimoto,Kitchen
"I felt an immense nostalgia, in that downpour of morning light; watching her pull a cushion onto the floor in that dusty living room and curl up to watch TV,17• • •She attacked the food—cucumber salad and soupy rice with eggs—with gusto.",Banana Yoshimoto,Kitchen
It was midday.,Banana Yoshimoto,Kitchen
From the building's garden we could hear the shouts of children playing in the springlike weather.,Banana Yoshimoto,Kitchen
"The plants near the window, enveloped in the gende sunlight, sparkled bright green; far off in the pale sky, thin clouds gently flowed, suspended.",Banana Yoshimoto,Kitchen
"It was a warm, lazy afternoon.I couldn't have dreamed of this yesterday morning, this scene of having breakfast at the house of someone I had just met, and it felt very strange.",Banana Yoshimoto,Kitchen
"There we were, eating breakfast, all sorts of things set out directly on the floor (there was no table).",Banana Yoshimoto,Kitchen
"The sunlight shone through pur cups, and our cold green tea reflected prettily against the floor.Suddenly Eriko looked me full in the face.",Banana Yoshimoto,Kitchen
"""Yuichi told me before that you reminded him of Woofie, a dog we used to have.",Banana Yoshimoto,Kitchen
And you know—it's really true.,Banana Yoshimoto,Kitchen
"""""His name was Woofie?",Banana Yoshimoto,Kitchen
"""""Yes, or Wolfie.",Banana Yoshimoto,Kitchen
"""""Hmm,"" I said, thinking, ""Woofie.",Banana Yoshimoto,Kitchen
"""""You have the same nice eyes, the same nice hair.. .",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"When I saw you for the first time yesterday, I had to force myself not to laugh.",Banana Yoshimoto,Kitchen
You really do look like him.,Banana Yoshimoto,Kitchen
"""""Is that right?""",Banana Yoshimoto,Kitchen
"Not that I believed I looked like a dog, but I thought, if Woofie was a Saint Bernard, that would be pretty awful.",Banana Yoshimoto,Kitchen
"""When Woofie died I couldn't get Yuichi to eat a bite, not I grain of rice, nothing.",Banana Yoshimoto,Kitchen
So it follows that Yuichi feels 18KITCHENclose to you.,Banana Yoshimoto,Kitchen
"I can't guarantee it's romantic, though!",Banana Yoshimoto,Kitchen
"""Mom shook with laughter.",Banana Yoshimoto,Kitchen
"""Okay,"" I said.",Banana Yoshimoto,Kitchen
"""Yuichi says your grandmother was very kind.",Banana Yoshimoto,Kitchen
"""""Grandmother was really fond of him.",Banana Yoshimoto,Kitchen
"""""That boy.",Banana Yoshimoto,Kitchen
"You know, I haven't been able to devote myself full-time to raising him, and I'm afraid there are some things that slipped through the cracks.",Banana Yoshimoto,Kitchen
"""I smiled.",Banana Yoshimoto,Kitchen
"""Slipped through the cracks?",Banana Yoshimoto,Kitchen
"""""It's true,"" she said with a motherly smile.",Banana Yoshimoto,Kitchen
"""He's confused about emotional things and he's strangely distant with people.",Banana Yoshimoto,Kitchen
I know I haven't done everything right.. .,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
